group_id	event_id	ref_id	event_type	included_3SS_ref_maxEntScan	included_3SS_var_maxEntScan	included_5SS_ref_maxEntScan	included_5SS_var_maxEntScan	3SS_status	5SS_status
10015	10015;SE:10015:44-264:304-1003:+	25281	SE	7.22	7.88	11.01	11.01	Same	Same
10016	10016;SE:10016:44-205:277-1004:+	30103	SE	8.33	8.33	4.82	4.82	Same	Same
10016	10016;SE:10016:44-164:277-1004:+	30103	SE	8.01	8.01	4.82	4.82	Same	Same
10017	10017;SE:10017:44-205:282-1004:+	17689	SE	4.74	4.74	7.82	7.82	Same	Same
10018	10018;SE:10018:44-273:305-1004:+	23539	SE	7.67	6.99	8.83	8.83	Same	Same
10018	10018;SE:10018:44-277:305-1004:+	23539	SE	-3.38	-2.38	8.83	8.83	Same	Same
10019	10019;SE:10019:44-220:290-1004:+	24976	SE	8.93	8.93	10.47	10.47	Same	Same
1001	1001;SE:1001:44-206:303-1003:+	1602	SE	7.13	7.13	7.44	7.44	Same	Same
1001	1001;SE:1001:44-264:303-1003:+	1602	SE	1.12	2.8	7.44	7.44	Same	Same
1001	1001;SE:1001:44-221:303-1003:+	1602	SE	-14.07	-14.07	7.44	7.44	Same	Same
1001	1001;SE:1001:44-208:303-1003:+	1602	SE	-8.94	-8.94	7.44	7.44	Same	Same
1001	1001;SE:1001:44-254:303-1003:+	1602	SE	4.52	4.52	7.44	7.44	Same	Same
10020	10020;SE:10020:44-205:228-1004:+	33136	SE	9.87	9.87	8.89	8.89	Same	Same
10021	10021;SE:10021:44-205:250-1004:+	2352	SE	6.02	6.02	7.82	7.82	Same	Same
10022	10022;SE:10022:44-214:295-1003:+	21820	SE	9.5	9.5	4.82	4.82	Same	Same
10023	10023;SE:10023:44-214:296-1004:+	852	SE	11.35	11.35	7.39	7.94	Same	Same
10024	10024;SE:10024:44-273:305-1004:+	23539	SE	7.67	7.63	8.83	8.83	Same	Same
10024	10024;SE:10024:44-277:305-1004:+	23539	SE	-3.38	-4.13	8.83	8.83	Same	Same
10025	10025;SE:10025:44-205:246-1004:+	15288	SE	13.71	13.71	5.82	5.82	Same	Same
10026	10026;SE:10026:44-207:303-1004:+	1684	SE	13.07	13.07	7.31	7.31	Same	Same
10026	10026;SE:10026:44-212:303-1004:+	1684	SE	3.11	3.11	7.31	7.31	Same	Same
10027	10027;SE:10027:44-212:298-1004:+	5371	SE	7.95	7.95	7.68	7.68	Same	Same
10027	10027;SE:10027:44-163:298-1004:+	5371	SE	0.83	0.83	7.68	7.68	Same	Same
10027	10027;SE:10027:44-166:298-1004:+	5371	SE	-0.86	-0.86	7.68	7.68	Same	Same
10028	10028;SE:10028:44-214:295-1003:+	2596	SE	5.4	5.4	9.43	9.43	Same	Same
10029	10029;SE:10029:44-219:290-1003:+	23637	SE	9.13	9.13	9.46	9.46	Same	Same
10029	10029;SE:10029:44-243:290-1003:+	23637	SE	-21.45	-29.41	9.46	9.46	Destroyed	Same
1002	1002;SE:1002:44-227:283-1004:+	12410	SE	10.1	10.1	9.65	9.65	Same	Same
10030	10030;SE:10030:44-205:274-1004:+	14858	SE	7.1	7.1	10.24	10.24	Same	Same
10031	10031;SE:10031:44-228:282-1004:+	27042	SE	4.82	4.82	9.25	9.25	Same	Same
10032	10032;SE:10032:44-215:295-1004:+	14030	SE	8.45	8.45	3.45	3.45	Same	Same
10032	10032;SE:10032:44-226:295-1004:+	14030	SE	2.1	2.1	3.45	3.45	Same	Same
10033	10033;SE:10033:44-213:296-1003:+	32481	SE	5.79	5.79	5.73	5.73	Same	Same
10034	10034;SE:10034:44-253:305-1004:+	10145	SE	6.95	0.22	9.49	9.49	Same	Same
10034	10034;SE:10034:44-164:305-1004:+	10145	SE	6.42	6.42	9.49	9.49	Same	Same
10035	10035;SE:10035:44-213:305-1004:+	7277	SE	5.41	5.41	-1.06	-1.06	Same	Same
10035	10035;SE:10035:44-213:318-1004:+	7277	SE	5.41	5.41	-1.95	-1.95	Same	Same
10036	10036;SE:10036:44-209:301-1004:+	16137	SE	3.1	3.1	9.06	9.06	Same	Same
10036	10036;SE:10036:44-230:301-1004:+	16137	SE	3.79	3.79	9.06	9.06	Same	Same
10037	10037;SE:10037:44-220:290-1004:+	27389	SE	7.36	7.36	7.96	7.96	Same	Same
10038	10038;SE:10038:44-205:277-1004:+	30103	SE	8.33	8.33	4.82	4.82	Same	Same
10039	10039;SE:10039:44-209:300-1003:+	19490	SE	7.54	7.54	6.92	6.92	Same	Same
10039	10039;SE:10039:44-159:300-1003:+	19490	SE	7.26	7.26	6.92	6.92	Same	Same
1003	1003;SE:1003:44-207:302-1003:+	29517	SE	4.77	4.77	10.86	10.86	Same	Same
10040	10040;SE:10040:44-224:286-1004:+	5515	SE	10.61	10.61	8.39	8.39	Same	Same
10041	10041;SE:10041:44-269:305-1004:+	25534	SE	10.61	10.61	9.1	9.1	Same	Same
10042	10042;SE:10042:44-205:266-1004:+	3483	SE	6.37	6.37	8.07	8.07	Same	Same
10043	10043;SE:10043:44-243:305-1004:+	9613	SE	4.74	-1.14	9.11	9.11	Same	Same
10043	10043;SE:10043:44-239:305-1004:+	9613	SE	-3.05	3.96	9.11	9.11	Created	Same
10044	10044;SE:10044:44-209:301-1004:+	16137	SE	3.1	3.1	9.06	9.06	Same	Same
10044	10044;SE:10044:44-230:301-1004:+	16137	SE	3.79	3.79	9.06	9.06	Same	Same
10045	10045;SE:10045:44-205:249-1004:+	1014	SE	7.08	7.08	3.14	3.14	Same	Same
10046	10046;SE:10046:44-231:278-1003:+	21970	SE	10.95	10.95	10.47	10.47	Same	Same
10046	10046;SE:10046:44-132:278-1003:+	21970	SE	5.87	5.87	10.47	10.47	Same	Same
10046	10046;SE:10046:44-167:278-1003:+	21970	SE	2.19	2.19	10.47	10.47	Same	Same
10046	10046;SE:10046:44-252:278-1003:+	21970	SE	-1.53	-18.5	10.47	10.47	Destroyed	Same
10047	10047;SE:10047:44-216:305-1004:+	20679	SE	7.18	7.18	11.08	11.08	Same	Same
10047	10047;SE:10047:44-230:305-1004:+	20679	SE	0.04	0.04	11.08	11.08	Same	Same
10048	10048;SE:10048:44-212:298-1004:+	14612	SE	6.57	6.57	8.41	8.41	Same	Same
10048	10048;SE:10048:44-160:298-1004:+	14612	SE	7.85	7.85	8.41	8.41	Same	Same
10049	10049;SE:10049:44-208:302-1004:+	4705	SE	4.51	4.51	8.59	8.59	Same	Same
1004	1004;SE:1004:44-248:305-1004:+	27200	SE	0.08	0.08	1.91	1.91	Same	Same
1004	1004;SE:1004:44-250:305-1004:+	27200	SE	-11.85	-11.85	1.91	1.91	Same	Same
1004	1004;SE:1004:44-213:305-1004:+	27200	SE	1.86	1.86	1.91	1.91	Same	Same
10050	10050;SE:10050:44-237:281-1004:+	30306	SE	6.81	6.16	6.03	6.03	Same	Same
10050	10050;SE:10050:44-206:281-1004:+	30306	SE	7.63	7.63	6.03	6.03	Same	Same
10051	10051;SE:10051:44-212:298-1004:+	5371	SE	7.95	7.95	7.68	7.68	Same	Same
10051	10051;SE:10051:44-166:298-1004:+	5371	SE	-0.86	-0.86	7.68	7.68	Same	Same
10052	10052;SE:10052:44-213:297-1004:+	22798	SE	8.89	8.89	4.54	4.54	Same	Same
10053	10053;SE:10053:44-205:274-1004:+	14858	SE	7.1	7.1	10.24	10.24	Same	Same
10053	10053;SE:10053:44-212:274-1004:+	14858	SE	0.48	0.48	10.24	10.24	Same	Same
10054	10054;SE:10054:44-245:305-1004:+	7511	SE	8.88	8.88	8.88	8.88	Same	Same
10055	10055;SE:10055:44-205:262-1004:+	7483	SE	0.08	0.08	1.91	1.91	Same	Same
10056	10056;SE:10056:44-213:296-1003:+	28046	SE	9.58	9.58	7.87	7.87	Same	Same
10057	10057;SE:10057:44-219:291-1004:+	17749	SE	8.33	8.33	4.82	4.82	Same	Same
10058	10058;SE:10058:44-215:295-1004:+	31842	SE	3.8	3.8	6.32	6.32	Same	Same
10059	10059;SE:10059:44-207:303-1004:+	8154	SE	7.52	7.52	10.67	10.67	Same	Same
10059	10059;SE:10059:44-170:303-1004:+	8154	SE	2.26	2.26	10.67	10.67	Same	Same
10059	10059;SE:10059:44-224:303-1004:+	8154	SE	-13.49	-13.74	10.67	10.67	Same	Same
10059	10059;SE:10059:44-161:303-1004:+	8154	SE	7.89	7.89	10.67	10.67	Same	Same
1005	1005;SE:1005:44-240:305-1004:+	33292	SE	8.44	8.44	9.22	9.22	Same	Same
10060	10060;SE:10060:44-216:294-1004:+	3506	SE	12.04	12.04	10.1	10.1	Same	Same
10060	10060;SE:10060:44-160:294-1004:+	3506	SE	3.77	3.77	10.1	10.1	Same	Same
10061	10061;SE:10061:44-218:291-1003:+	19118	SE	9.98	9.98	3.85	3.85	Same	Same
10062	10062;SE:10062:44-205:282-1004:+	4123	SE	6.2	10.28	9.89	9.89	Same	Same
10062	10062;SE:10062:44-171:282-1004:+	4123	SE	5.23	5.23	9.89	9.89	Same	Same
10063	10063;SE:10063:44-205:262-1004:+	7483	SE	0.08	0.08	1.91	1.91	Same	Same
10063	10063;SE:10063:44-205:312-1004:+	7483	SE	0.08	0.08	4.81	4.81	Same	Same
10064	10064;SE:10064:44-205:262-1004:+	7483	SE	0.08	0.08	1.91	1.91	Same	Same
10064	10064;SE:10064:44-205:312-1004:+	7483	SE	0.08	0.08	4.81	4.81	Same	Same
10065	10065;SE:10065:44-214:295-1003:+	2596	SE	5.4	5.4	9.43	9.43	Same	Same
10066	10066;SE:10066:44-247:305-1004:+	23536	SE	9.52	9.52	9.6	9.6	Same	Same
10067	10067;SE:10067:44-212:305-1004:+	398	SE	8.37	8.37	2.28	2.28	Same	Same
10067	10067;SE:10067:44-250:305-1004:+	398	SE	10.62	10.62	2.28	2.28	Same	Same
10068	10068;SE:10068:44-220:290-1004:+	10408	SE	12.69	12.69	8.73	8.73	Same	Same
10069	10069;SE:10069:44-227:283-1004:+	12410	SE	10.1	10.1	9.65	9.65	Same	Same
10069	10069;SE:10069:44-232:283-1004:+	12410	SE	-7.32	-7.32	9.65	9.65	Same	Same
1006	1006;SE:1006:44-225:305-1004:+	29158	SE	8.07	8.07	9.89	9.89	Same	Same
10070	10070;SE:10070:44-209:301-1004:+	19526	SE	9.4	9.4	7.56	7.56	Same	Same
10071	10071;SE:10071:44-222:288-1004:+	16519	SE	7.15	7.15	6.43	6.43	Same	Same
10072	10072;SE:10072:44-210:299-1003:+	19313	SE	5.75	5.75	8.46	8.46	Same	Same
10072	10072;SE:10072:44-226:299-1003:+	19313	SE	0.12	0.12	8.46	8.46	Same	Same
10073	10073;SE:10073:44-249:260-1003:+	29471	SE	6.1	6.1	10.77	10.77	Same	Same
10074	10074;SE:10074:44-240:269-1003:+	28323	SE	10.51	10.51	5.84	5.84	Same	Same
10074	10074;SE:10074:44-161:269-1003:+	28323	SE	8.36	8.36	5.84	5.84	Same	Same
10075	10075;SE:10075:44-207:302-1003:+	29517	SE	4.77	4.77	10.86	10.86	Same	Same
10076	10076;SE:10076:44-230:305-1004:+	7023	SE	7.19	7.19	5.26	5.26	Same	Same
10077	10077;SE:10077:44-216:294-1004:+	3506	SE	12.04	12.04	10.1	10.1	Same	Same
10077	10077;SE:10077:44-160:294-1004:+	3506	SE	3.77	3.77	10.1	10.1	Same	Same
10077	10077;SE:10077:44-184:294-1004:+	3506	SE	-3.57	-3.57	10.1	10.1	Same	Same
10078	10078;SE:10078:44-205:248-1004:+	22017	SE	10.87	10.87	7.8	7.8	Same	Same
10079	10079;SE:10079:44-226:283-1003:+	23465	SE	5.17	5.17	9.07	9.07	Same	Same
1007	1007;SE:1007:44-205:252-1004:+	14003	SE	8.68	8.68	10.47	10.47	Same	Same
1007	1007;SE:1007:44-216:252-1004:+	14003	SE	6.32	6.32	10.47	10.47	Same	Same
10080	10080;SE:10080:44-212:297-1003:+	25564	SE	4.3	4.3	8.68	8.68	Same	Same
10080	10080;SE:10080:44-267:297-1003:+	25564	SE	-0.66	-0.66	8.68	8.68	Same	Same
10081	10081;SE:10081:44-206:305-1004:+	17483	SE	6.21	6.21	7.48	7.48	Same	Same
10081	10081;SE:10081:44-238:305-1004:+	17483	SE	0.4	-4.01	7.48	7.48	Same	Same
10081	10081;SE:10081:44-265:305-1004:+	17483	SE	0.47	0.47	7.48	7.48	Same	Same
10081	10081;SE:10081:44-251:305-1004:+	17483	SE	-3.84	-3.69	7.48	7.48	Same	Same
10082	10082;SE:10082:44-205:249-1004:+	26374	SE	8.12	8.12	3.14	3.14	Same	Same
10083	10083;SE:10083:44-210:299-1003:+	10882	SE	7.81	7.81	7.96	7.96	Same	Same
10084	10084;SE:10084:44-207:303-1004:+	1987	SE	8.82	5.58	6.99	6.99	Same	Same
10084	10084;SE:10084:44-211:303-1004:+	1987	SE	6.55	6.48	6.99	6.99	Same	Same
10084	10084;SE:10084:44-159:303-1004:+	1987	SE	10.11	10.11	6.99	6.99	Same	Same
10085	10085;SE:10085:44-220:289-1003:+	19067	SE	7.9	7.9	7.67	7.67	Same	Same
10086	10086;SE:10086:44-218:291-1003:+	19118	SE	9.98	9.98	3.85	3.85	Same	Same
10087	10087;SE:10087:44-237:275-1004:+	14872	SE	9.89	9.89	4.85	4.85	Same	Same
10088	10088;SE:10088:44-219:290-1003:+	23637	SE	9.13	9.13	9.46	9.46	Same	Same
10088	10088;SE:10088:44-243:290-1003:+	23637	SE	-21.45	-21.45	9.46	9.46	Same	Same
10089	10089;SE:10089:44-237:281-1004:+	30306	SE	6.81	6.81	6.03	6.03	Same	Same
1008	1008;SE:1008:44-212:297-1003:+	27690	SE	3.67	3.67	7.04	7.04	Same	Same
1008	1008;SE:1008:44-222:297-1003:+	27690	SE	-11.07	-11.07	7.04	7.04	Same	Same
1008	1008;SE:1008:44-256:297-1003:+	27690	SE	-2.54	-2.54	7.04	7.04	Same	Same
10090	10090;SE:10090:44-246:305-1004:+	28888	SE	9.1	9.1	7.76	7.76	Same	Same
10091	10091;SE:10091:44-220:289-1003:+	19067	SE	7.9	7.9	7.67	7.67	Same	Same
10092	10092;SE:10092:44-205:249-1004:+	18162	SE	6.46	6.46	8.99	8.99	Same	Same
10093	10093;SE:10093:44-248:305-1004:+	27200	SE	0.08	0.08	1.91	1.91	Same	Same
10093	10093;SE:10093:44-250:305-1004:+	27200	SE	-11.85	-11.85	1.91	1.91	Same	Same
10093	10093;SE:10093:44-213:305-1004:+	27200	SE	1.86	1.86	1.91	1.91	Same	Same
10094	10094;SE:10094:44-210:299-1003:+	10882	SE	7.81	7.81	7.96	7.96	Same	Same
10095	10095;SE:10095:44-226:283-1003:+	3758	SE	7.85	7.85	11.08	10.75	Same	Same
10096	10096;SE:10096:44-218:292-1004:+	1192	SE	8.95	8.95	10.07	10.07	Same	Same
10097	10097;SE:10097:44-205:276-1004:+	11358	SE	9.39	9.39	7.22	7.22	Same	Same
10098	10098;SE:10098:44-226:284-1004:+	30977	SE	9.54	9.54	9.3	9.3	Same	Same
10099	10099;SE:10099:44-214:296-1004:+	23090	SE	3.89	3.89	8.37	8.37	Same	Same
10099	10099;SE:10099:44-228:296-1004:+	23090	SE	-0.07	-0.07	8.37	8.37	Same	Same
10099	10099;SE:10099:44-225:296-1004:+	23090	SE	-2.74	-2.74	8.37	8.37	Same	Same
1009	1009;SE:1009:44-206:303-1003:+	1602	SE	7.13	7.13	7.44	7.44	Same	Same
1009	1009;SE:1009:44-264:303-1003:+	1602	SE	1.12	-15.43	7.44	7.44	Destroyed	Same
100	100;SE:100:44-216:294-1004:+	3506	SE	12.04	12.04	10.1	10.1	Same	Same
100	100;SE:100:44-160:294-1004:+	3506	SE	3.77	3.77	10.1	10.1	Same	Same
100	100;SE:100:44-184:294-1004:+	3506	SE	-3.57	-3.57	10.1	10.1	Same	Same
10100	10100;SE:10100:44-205:266-1004:+	3483	SE	6.37	6.37	8.07	8.07	Same	Same
10101	10101;SE:10101:44-215:295-1004:+	2924	SE	10.92	10.92	7.46	7.46	Same	Same
10101	10101;SE:10101:44-177:295-1004:+	2924	SE	-6.47	-6.47	7.46	7.46	Same	Same
10102	10102;SE:10102:44-219:290-1003:+	7099	SE	6.22	6.22	9.16	9.16	Same	Same
10102	10102;SE:10102:44-185:290-1003:+	7099	SE	5.68	5.68	9.16	9.16	Same	Same
10103	10103;SE:10103:44-205:237-1004:+	14104	SE	3.08	3.08	5.56	5.56	Same	Same
10104	10104;SE:10104:44-218:292-1004:+	8225	SE	7.83	7.83	11.01	11.01	Same	Same
10105	10105;SE:10105:44-219:290-1003:+	54	SE	7.27	7.27	10.91	10.91	Same	Same
10105	10105;SE:10105:44-198:290-1003:+	54	SE	2.12	2.12	10.91	10.91	Same	Same
10106	10106;SE:10106:44-205:286-1004:+	22912	SE	9.5	9.5	4.82	4.82	Same	Same
10107	10107;SE:10107:44-213:296-1003:+	30615	SE	13.21	13.21	6.92	6.92	Same	Same
10107	10107;SE:10107:44-166:296-1003:+	30615	SE	7.32	7.32	6.92	6.92	Same	Same
10108	10108;SE:10108:44-221:289-1004:+	3147	SE	7.34	7.34	10.29	10.29	Same	Same
10108	10108;SE:10108:44-165:289-1004:+	3147	SE	6.16	6.16	10.29	10.29	Same	Same
10109	10109;SE:10109:44-212:298-1004:+	5371	SE	7.95	7.95	7.68	7.68	Same	Same
10109	10109;SE:10109:44-166:298-1004:+	5371	SE	-0.86	-0.86	7.68	7.68	Same	Same
10109	10109;SE:10109:44-241:298-1004:+	5371	SE	7.47	7.6	7.68	7.68	Same	Same
10109	10109;SE:10109:44-163:298-1004:+	5371	SE	0.83	0.83	7.68	7.68	Same	Same
1010	1010;SE:1010:44-224:285-1003:+	4163	SE	3.66	3.66	9.49	9.49	Same	Same
10110	10110;SE:10110:44-218:292-1004:+	20209	SE	7.05	7.05	7.83	7.83	Same	Same
10111	10111;SE:10111:44-220:290-1004:+	27389	SE	7.36	7.36	7.96	7.96	Same	Same
10112	10112;SE:10112:44-205:303-1004:+	32983	SE	4.56	4.56	7.04	7.04	Same	Same
10113	10113;SE:10113:44-243:305-1004:+	10725	SE	10.02	10.02	6.36	6.36	Same	Same
10114	10114;SE:10114:44-205:256-1004:+	16311	SE	4.28	4.28	9.48	9.48	Same	Same
10115	10115;SE:10115:44-225:305-1004:+	29158	SE	8.07	8.07	9.89	9.89	Same	Same
10116	10116;SE:10116:44-229:281-1004:+	29899	SE	9.91	9.91	9.49	9.49	Same	Same
10117	10117;SE:10117:44-220:289-1003:+	5970	SE	7.1	7.1	10.24	10.24	Same	Same
10117	10117;SE:10117:44-227:289-1003:+	5970	SE	0.48	0.48	10.24	10.24	Same	Same
10118	10118;SE:10118:44-230:305-1004:+	23687	SE	-1.27	-1.27	10.08	10.08	Same	Same
10119	10119;SE:10119:44-212:297-1003:+	3543	SE	9.75	9.75	9.6	9.6	Same	Same
10119	10119;SE:10119:44-229:297-1003:+	3543	SE	6.25	6.25	9.6	9.6	Same	Same
1011	1011;SE:1011:44-205:252-1004:+	14003	SE	8.68	8.68	10.47	10.47	Same	Same
1011	1011;SE:1011:44-216:252-1004:+	14003	SE	6.32	6.32	10.47	10.47	Same	Same
10120	10120;SE:10120:44-237:281-1004:+	30306	SE	6.81	9.4	6.03	6.03	Same	Same
10121	10121;SE:10121:44-214:295-1003:+	23841	SE	10.89	10.89	10.67	10.67	Same	Same
10121	10121;SE:10121:44-243:295-1003:+	23841	SE	0.07	10.81	10.67	10.67	Same	Same
10121	10121;SE:10121:44-191:295-1003:+	23841	SE	2.43	2.43	10.67	10.67	Same	Same
10121	10121;SE:10121:44-250:295-1003:+	23841	SE	-1.4	-1.82	10.67	10.67	Same	Same
10122	10122;SE:10122:44-249:260-1003:+	29471	SE	6.1	6.1	10.77	10.77	Same	Same
10123	10123;SE:10123:44-214:295-1003:+	2596	SE	5.4	5.4	9.43	9.43	Same	Same
10123	10123;SE:10123:44-243:295-1003:+	2596	SE	-1.36	-1.36	9.43	9.43	Same	Same
10124	10124;SE:10124:44-212:298-1004:+	13279	SE	11.56	11.56	5.68	5.68	Same	Same
10125	10125;SE:10125:44-205:252-1004:+	14003	SE	8.68	8.68	10.47	10.47	Same	Same
10125	10125;SE:10125:44-216:252-1004:+	14003	SE	6.32	5.32	10.47	10.47	Same	Same
10126	10126;SE:10126:44-219:290-1003:+	23637	SE	9.13	9.13	9.46	9.46	Same	Same
10126	10126;SE:10126:44-243:290-1003:+	23637	SE	-21.45	-21.45	9.46	9.46	Same	Same
10127	10127;SE:10127:44-214:295-1003:+	2596	SE	5.4	5.4	9.43	9.43	Same	Same
10128	10128;SE:10128:44-297:305-1004:+	9246	SE	9.52	9.52	10.47	10.47	Same	Same
10129	10129;SE:10129:44-206:305-1004:+	21552	SE	9.04	9.04	10.07	10.07	Same	Same
1012	1012;SE:1012:44-211:298-1003:+	13565	SE	6.71	6.71	10.22	10.22	Same	Same
1012	1012;SE:1012:44-225:298-1003:+	13565	SE	3.19	3.19	10.22	10.22	Same	Same
1012	1012;SE:1012:44-267:298-1003:+	13565	SE	5.08	3.57	10.22	10.22	Same	Same
10130	10130;SE:10130:44-230:305-1004:+	6688	SE	7.98	7.98	5.95	5.95	Same	Same
10131	10131;SE:10131:44-247:305-1004:+	23536	SE	9.52	9.52	9.6	9.6	Same	Same
10132	10132;SE:10132:44-270:305-1004:+	25971	SE	10.14	10.14	7.46	7.46	Same	Same
10133	10133;SE:10133:44-240:305-1004:+	16855	SE	6.88	6.88	6.62	6.62	Same	Same
10134	10134;SE:10134:44-210:299-1003:+	19313	SE	5.75	5.75	8.46	8.46	Same	Same
10134	10134;SE:10134:44-226:299-1003:+	19313	SE	0.12	0.39	8.46	8.46	Same	Same
10135	10135;SE:10135:44-222:288-1004:+	4463	SE	8.73	8.73	10.93	10.93	Same	Same
10135	10135;SE:10135:44-228:288-1004:+	4463	SE	-0.23	-0.23	10.93	10.93	Same	Same
10136	10136;SE:10136:44-205:243-1004:+	2845	SE	8.72	8.72	9.65	9.65	Same	Same
10137	10137;SE:10137:44-230:280-1004:+	1853	SE	10.95	10.54	2.95	2.95	Same	Same
10137	10137;SE:10137:44-230:290-1004:+	1853	SE	10.95	10.54	-11.26	-11.26	Same	Same
10138	10138;SE:10138:44-205:303-1004:+	32983	SE	4.56	4.56	7.04	7.04	Same	Same
10139	10139;SE:10139:44-231:279-1004:+	19926	SE	7.85	7.85	6.84	6.84	Same	Same
1013	1013;SE:1013:44-225:305-1004:+	29158	SE	8.07	8.07	9.89	9.89	Same	Same
10140	10140;SE:10140:44-205:266-1004:+	3483	SE	6.37	6.37	8.07	8.07	Same	Same
10141	10141;SE:10141:44-224:285-1003:+	8144	SE	8.01	8.01	10.06	10.06	Same	Same
10142	10142;SE:10142:44-228:282-1004:+	25020	SE	6.82	6.82	8.34	8.34	Same	Same
10143	10143;SE:10143:44-213:296-1003:+	21519	SE	7.19	7.67	9.48	9.48	Same	Same
10144	10144;SE:10144:44-205:249-1004:+	18162	SE	6.46	6.46	8.99	8.99	Same	Same
10145	10145;SE:10145:44-253:305-1004:+	10145	SE	6.95	6.95	9.49	9.49	Same	Same
10145	10145;SE:10145:44-164:305-1004:+	10145	SE	6.42	6.42	9.49	9.49	Same	Same
10146	10146;SE:10146:44-205:258-1004:+	6483	SE	-0.36	-0.36	11.78	11.37	Same	Same
10147	10147;SE:10147:44-227:283-1004:+	11733	SE	6.9	6.9	6.9	6.9	Same	Same
10147	10147;SE:10147:44-176:283-1004:+	11733	SE	-2.92	-2.92	6.9	6.9	Same	Same
10148	10148;SE:10148:44-213:297-1004:+	22798	SE	8.89	8.89	4.54	4.54	Same	Same
10149	10149;SE:10149:44-205:249-1004:+	18111	SE	6.36	6.36	8.69	8.69	Same	Same
10149	10149;SE:10149:44-188:249-1004:+	18111	SE	3.39	3.39	8.69	8.69	Same	Same
1014	1014;SE:1014:44-205:249-1004:+	1014	SE	7.08	7.08	3.14	3.14	Same	Same
10150	10150;SE:10150:44-208:302-1004:+	4705	SE	4.51	4.51	8.59	8.59	Same	Same
10150	10150;SE:10150:44-243:302-1004:+	4705	SE	-0.03	1.57	8.59	8.59	Same	Same
10150	10150;SE:10150:44-280:302-1004:+	4705	SE	-1.11	-1.11	8.59	8.59	Same	Same
10151	10151;SE:10151:44-212:297-1003:+	27690	SE	3.67	3.67	7.04	7.04	Same	Same
10151	10151;SE:10151:44-222:297-1003:+	27690	SE	-11.07	-11.07	7.04	7.04	Same	Same
10151	10151;SE:10151:44-256:297-1003:+	27690	SE	-2.54	-1.36	7.04	7.04	Same	Same
10152	10152;SE:10152:44-205:228-1004:+	33136	SE	9.87	9.87	8.89	8.89	Same	Same
10153	10153;SE:10153:44-218:292-1004:+	15036	SE	7.24	7.24	8.54	8.54	Same	Same
10154	10154;SE:10154:44-205:304-1003:+	30968	SE	8.97	8.97	10.43	10.43	Same	Same
10154	10154;SE:10154:44-271:304-1003:+	30968	SE	-6.01	0.63	10.43	10.43	Same	Same
10154	10154;SE:10154:44-208:304-1003:+	30968	SE	6.3	6.3	10.43	10.43	Same	Same
